GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G10883419,S155739469,GJ-KU-RAP-047
G10877919,S155739470,GJ-KU-RAP-085
G13032742,S195893181,GJ-KU-LAK-009
G13033292,S195893221,GJ-KU-RAP-099
G13041383,S195893526,GJ-KU-MAN-037
G13064026,S195893542,GJ-KU-MAN-029
G13039821,S195893562,GJ-KU-ABD-093
G13039819,S195893575,GJ-KU-MAN-027
G13039820,S195893590,GJ-KU-MAN-018
G13055923,S195893642,GJ-KU-BHU-001
G13038282,S195893662,GJ-KU-RAP-016
G13038286,S195893896,GJ-KU-RAP-007
G13038284,S195893898,GJ-KU-RAP-013
G13051583,S195893900,GJ-KU-BHA-022
G13069064,S195893910,GJ-KU-GAN-001
G13069065,S195893913,GJ-KU-RAP-088
G13069066,S195893914,GJ-KU-RAP-079
G13069067,S195893915,GJ-KU-RAP-069
G13069068,S195893916,GJ-KU-RAP-077
G13069069,S195893917,GJ-KU-RAP-096
G13050785,S195893918,GJ-KU-ANJ-013
G13048167,S195893919,GJ-KU-BHU-054
G13048168,S195893920,GJ-KU-BHU-053
G13048169,S195893921,GJ-KU-NAK-011
G13048170,S195893922,GJ-KU-NAK-007
G13048171,S195893923,GJ-KU-LAK-041
G13048172,S195893924,GJ-KU-NAK-003
G13047139,S195893926,GJ-KU-BHU-115
G13055658,S195893927,GJ-KU-BHU-150
G13055659,S195893928,GJ-KU-BHU-150
G13033206,S195893930,GJ-KU-RAP-047
G13033205,S195893932,GJ-KU-LIT-014
G13035054,S195893933,GJ-KU-LIT-051
G13040436,S195893934,GJ-KU-LIT-015
G13047098,S195893936,GJ-KU-LAK-037
G13047099,S195893938,GJ-KU-LAK-052
G13039408,S195893941,GJ-KU-NAK-059
G13039410,S195893943,GJ-KU-NAK-067
G13039412,S195893944,GJ-KU-NAK-060
G13039889,S195893945,GJ-KU-BHU-130
G13042854,S195893946,GJ-KU-NAK-068
G13042855,S195893947,GJ-KU-BHU-141
G13042613,S195893948,GJ-KU-RAN-172
G13042614,S195893949,GJ-KU-LIT-040
G13042615,S195893950,GJ-KU-BHU-069
G13042616,S195893951,GJ-KU-RAN-170
G13042617,S195893952,GJ-KU-RAN-170
G13051780,S195893956,GJ-KU-RAN-501
G13042618,S195893957,GJ-KU-BHU-050
G13041367,S195893962,GJ-KU-BHU-013
G13042620,S195893965,GJ-KU-BHU-005
G13041178,S195893966,GJ-KU-LAK-060
G13041177,S195893967,GJ-KU-NAK-017
G13039822,S195893968,GJ-KU-MAN-009
G13041127,S195893969,GJ-KU-ABD-025
G13041129,S195893970,GJ-KU-LAK-075
G13051781,S195893972,GJ-KU-BHU-026
G13041133,S195893973,GJ-KU-LAK-070
G13041617,S195893974,GJ-KU-ABD-044
G13041618,S195893975,GJ-KU-ABD-046
G13041187,S195893978,GJ-KU-ABD-053
G13041040,S195893979,GJ-KU-BHU-022
G13047806,S195893980,GJ-KU-LAK-007
G13041042,S195893981,GJ-KU-RAN-506
G13041039,S195893982,GJ-KU-RAN-531
G13041037,S195893983,GJ-KU-BHU-036
G13040844,S195893990,GJ-KU-BHU-133
G13046570,S195893992,GJ-KU-ABD-051
G13046572,S195893993,GJ-KU-ABD-067
G13046573,S195893994,GJ-KU-ABD-065
G13046575,S195893995,GJ-KU-ABD-041
G13041036,S195893997,GJ-KU-BHU-065
G13055661,S195893998,GJ-KU-BHU-139
G13055662,S195893999,GJ-KU-BHU-128
G13040432,S195894001,GJ-KU-LAK-046
G13040433,S195894003,GJ-KU-LAK-031
G13040434,S195894004,GJ-KU-LAK-018
G13040526,S195894005,GJ-KU-LAK-037
G13040774,S195894006,GJ-KU-BHU-155
G13040775,S195894007,GJ-KU-BHU-147
G13040293,S195894008,GJ-KU-RAP-050
G13051784,S195894009,GJ-KU-BHU-040
G13051787,S195894010,GJ-KU-BHU-024
G13040212,S195894011,GJ-KU-ANJ-021
G13040213,S195894012,GJ-KU-ANJ-027
G13040320,S195894013,GJ-KU-MAN-042
G13051789,S195894014,GJ-KU-BHU-030
G13040153,S195894016,GJ-KU-BHU-017
G13040129,S195894017,GJ-KU-ANJ-008
G13040130,S195894018,GJ-KU-ANJ-011
G13040323,S195894019,GJ-KU-MAN-048
G13069073,S195894020,GJ-KU-NAK-052
G13040424,S195894021,GJ-KU-LAK-059
G13040426,S195894022,GJ-KU-LAK-058
G13040427,S195894023,GJ-KU-LAK-067
G13046616,S195894024,GJ-KU-ANJ-005
G13040205,S195894025,GJ-KU-RAP-029
G13040681,S195894026,GJ-KU-BHU-168
G13040084,S195894027,GJ-KU-ABD-027
G13055663,S195894028,GJ-KU-BHU-104
G13040363,S195894029,GJ-KU-BHU-102
G13040235,S195894031,GJ-KU-BHA-029
G13055665,S195894032,GJ-KU-BHU-090
G13040085,S195894033,GJ-KU-ABD-018
G13040086,S195894034,GJ-KU-ABD-018
G13040087,S195894035,GJ-KU-ABD-019
G13040088,S195894036,GJ-KU-ABD-019
G13040090,S195894038,GJ-KU-NAK-052
G13040682,S195894039,GJ-KU-MUN-003
G13040776,S195894040,GJ-KU-BHU-145
G13039385,S195894041,GJ-KU-MAN-013
G13039413,S195894042,GJ-KU-RAP-073
G13040234,S195894043,GJ-KU-RAP-085
G13040687,S195894044,GJ-KU-MAN-024
G13038772,S195894046,GJ-KU-MAN-011
G13038462,S195894047,GJ-KU-MUN-002
G13038461,S195894048,GJ-KU-MUN-007
G13038736,S195894049,GJ-KU-BHU-003
G13038737,S195894051,GJ-KU-RAN-161
G13038738,S195894052,NA
G13038739,S195894053,GJ-KU-RAN-115
G13038740,S195894054,GJ-KU-RAN-115
G13036020,S195894055,GJ-KU-RAN-266
G13035939,S195894057,GJ-KU-RAN-270
G13035940,S195894058,GJ-KU-BHU-005
G13035967,S195894060,GJ-KU-LAK-027
G13040530,S195894062,GJ-KU-LAK-035
